topicId,userId,timestamp,like,emo
33791259,1511589,2015-06-15T00:19:09.000Z,0,2
33791260,1735168,2015-06-15T00:19:09.000Z,0,0
33791261,2418847,2015-06-15T00:20:01.000Z,0,0
33791262,2418820,2015-06-15T00:20:15.000Z,0,0
33791263,263563,2015-06-15T00:21:16.000Z,0,0
33791264,1686611,2015-06-15T00:21:33.000Z,0,0
33791265,1295408,2015-06-15T00:21:44.000Z,4,3
33791266,2416209,2015-06-15T00:21:47.000Z,0,0
33791267,184197,2015-06-15T00:22:28.000Z,7,10
33791268,1770087,2015-06-15T00:23:49.000Z,0,0
33791269,1043159,2015-06-15T00:24:05.000Z,0,0
33791270,1237994,2015-06-15T00:24:09.000Z,0,0
33791271,2418853,2015-06-15T00:24:35.000Z,0,0
33791272,2416569,2015-06-15T00:25:09.000Z,0,0
33791273,2062238,2015-06-15T00:25:33.000Z,0,0
33791274,1809532,2015-06-15T00:26:19.000Z,0,0
33791275,2179847,2015-06-15T00:26:29.000Z,0,0
33791276,618531,2015-06-15T00:27:17.000Z,0,0
33791277,1039307,2015-06-15T00:27:19.000Z,0,6
33791278,2414243,2015-06-15T00:27:24.000Z,1,0
33791279,1540861,2015-06-15T00:28:00.000Z,0,0
33791280,364616,2015-06-15T00:28:00.000Z,53,41
33791281,2368480,2015-06-15T00:29:44.000Z,0,0
33791282,309444,2015-06-15T00:30:08.000Z,0,0
33791283,1190882,2015-06-15T00:30:11.000Z,3,5
33791284,2038568,2015-06-15T00:30:29.000Z,0,0
33791286,467129,2015-06-15T00:30:46.000Z,0,0
33791287,126903,2015-06-15T00:31:23.000Z,0,0
33791288,2415134,2015-06-15T00:31:43.000Z,0,0
33791289,1937243,2015-06-15T00:31:51.000Z,0,0
33791290,183709,2015-06-15T00:32:18.000Z,0,0
33791291,2092700,2015-06-15T00:32:23.000Z,0,0
33791292,1954792,2015-06-15T00:32:33.000Z,0,0
33791293,1156115,2015-06-15T00:32:47.000Z,0,0
33791294,1774555,2015-06-15T00:32:47.000Z,0,0
33791295,444819,2015-06-15T00:32:51.000Z,0,0
33791296,778770,2015-06-15T00:33:39.000Z,0,0
33791297,531199,2015-06-15T00:34:23.000Z,0,0
33791298,2418871,2015-06-15T00:35:10.000Z,0,0
33791299,2418863,2015-06-15T00:36:04.000Z,0,0
33791300,1441340,2015-06-15T00:36:18.000Z,0,0
33791301,2418861,2015-06-15T00:37:04.000Z,0,0
33791302,1109321,2015-06-15T00:37:31.000Z,0,0
33791303,1638910,2015-06-15T00:37:35.000Z,0,0
33791304,762528,2015-06-15T00:38:25.000Z,0,2
33791305,995297,2015-06-15T00:38:59.000Z,0,0
33791306,2418852,2015-06-15T00:39:34.000Z,0,0
33791307,1006670,2015-06-15T00:39:34.000Z,0,0
33791308,594756,2015-06-15T00:40:08.000Z,0,0
33791310,1966883,2015-06-15T00:41:42.000Z,0,0
33791311,2113722,2015-06-15T00:42:59.000Z,0,0
33791312,530864,2015-06-15T00:44:01.000Z,0,0
33791313,588798,2015-06-15T00:44:56.000Z,0,0
33791314,1827211,2015-06-15T00:45:21.000Z,0,0
33791315,2123924,2015-06-15T00:45:25.000Z,0,0
33791316,1600125,2015-06-15T00:45:35.000Z,0,0
33791317,1015303,2015-06-15T00:45:49.000Z,0,0
33791318,2305841,2015-06-15T00:45:52.000Z,0,0
33791319,2368535,2015-06-15T00:46:42.000Z,0,0
33791320,1532502,2015-06-15T00:47:51.000Z,0,0
33791321,140657,2015-06-15T00:48:02.000Z,0,1
33791322,1819458,2015-06-15T00:49:00.000Z,0,0
33791323,2066589,2015-06-15T00:49:10.000Z,0,1
33791324,1776831,2015-06-15T00:49:20.000Z,0,0
33791325,2418899,2015-06-15T00:51:13.000Z,0,0
33791326,2331384,2015-06-15T00:51:13.000Z,0,0
33791327,848674,2015-06-15T00:51:20.000Z,0,0
33791328,2307602,2015-06-15T00:51:56.000Z,0,0
33791329,2398698,2015-06-15T00:52:11.000Z,0,0
33791330,39159,2015-06-15T00:52:12.000Z,0,0
33791331,775720,2015-06-15T00:52:13.000Z,0,0
33791332,2416281,2015-06-15T00:52:36.000Z,0,1
33791333,1452108,2015-06-15T00:53:01.000Z,0,0
33791334,1910359,2015-06-15T00:54:06.000Z,0,0
33791335,2418878,2015-06-15T00:54:39.000Z,0,0
33791336,2140791,2015-06-15T00:54:41.000Z,0,2
33791337,2301525,2015-06-15T00:55:03.000Z,0,0
33791338,2350230,2015-06-15T00:55:04.000Z,0,0
33791339,1781460,2015-06-15T00:55:48.000Z,0,0
33791340,1813150,2015-06-15T00:56:13.000Z,0,0
33791341,1595921,2015-06-15T00:56:14.000Z,0,0
33791342,2194449,2015-06-15T00:56:53.000Z,1,0
33791343,556476,2015-06-15T00:57:06.000Z,0,0
33791345,1108185,2015-06-15T00:57:16.000Z,0,3
33791346,1581814,2015-06-15T00:57:17.000Z,0,0
33791347,2418896,2015-06-15T00:58:28.000Z,0,0
33791348,1583081,2015-06-15T00:58:29.000Z,0,0
33791349,103690,2015-06-15T00:58:32.000Z,0,0
33791350,2418904,2015-06-15T00:59:17.000Z,0,0
33791351,428272,2015-06-15T00:59:47.000Z,1,3
33791352,2164811,2015-06-15T00:59:55.000Z,0,0
33791353,177905,2015-06-15T01:00:56.000Z,69,65
33791354,2323452,2015-06-15T01:01:21.000Z,0,0
33791355,2397970,2015-06-15T01:01:40.000Z,0,0
33791356,1029893,2015-06-15T01:01:55.000Z,0,0
33791357,1000965,2015-06-15T01:02:54.000Z,0,0
33791358,2097778,2015-06-15T01:05:25.000Z,0,0
33791359,997961,2015-06-15T01:05:54.000Z,0,0
33791360,2002000,2015-06-15T01:06:13.000Z,15,40
33791361,1184576,2015-06-15T01:06:18.000Z,45,16
33791362,1110390,2015-06-15T01:07:53.000Z,0,0
33791363,348296,2015-06-15T01:08:08.000Z,0,0
33791364,607501,2015-06-15T01:08:20.000Z,2,0
33791365,873888,2015-06-15T01:08:28.000Z,0,0
33791366,2418908,2015-06-15T01:08:55.000Z,0,0
33791367,607799,2015-06-15T01:09:00.000Z,0,0
33791368,1145216,2015-06-15T01:09:02.000Z,0,1
33791369,126903,2015-06-15T01:09:36.000Z,0,0
33791370,873680,2015-06-15T01:11:04.000Z,0,0
33791371,2041680,2015-06-15T01:11:50.000Z,0,0
33791372,2016198,2015-06-15T01:12:10.000Z,0,0
33791373,1462831,2015-06-15T01:12:20.000Z,0,0
33791374,91219,2015-06-15T01:12:40.000Z,0,0
33791375,2145253,2015-06-15T01:12:59.000Z,0,0
